Módulo,Área Funcional,Nombre Entidad CDS (Data Definition),SQL View Name (Nombre Técnico),Descripción Breve,Tipo carga sugerido,Tabla subyacente,Notas
CO,Tipo de Actividad,I_ActivityType,IACTIVITYTYPE,Tipos de actividad,Full,TKA01,
CO,Actividad Centro de Coste,I_CostCenterActivity,ICOSTCENTERACTIVITY,Actividad de centros de coste,Full,COSP/COSL,
SD,Ventas (Cabecera),I_SalesOrder,ISALESORDER,Documentos de venta: Cabecera,Delta timestamp,VBAK,
SD,Ventas (Posici?n),I_SalesOrderItem,ISALESORDERITM,Documentos de venta: Posiciones,Delta timestamp,VBAP,
SD,Documento Ventas,I_SalesDocument,ISALESDOCUMENT,Cabecera documento de ventas (tronco),Delta timestamp,VBAK,
SD,Posici?n Ventas,I_SalesDocumentItem,ISALESDOCUMENTITEM,Posiciones documento de ventas,Delta timestamp,VBAP,
SD,Entrega,I_DeliveryDocument,IDELIVDOC,Documentos de entrega (Cabecera),Delta timestamp,LIKP,
SD,Posici?n Entrega,I_DeliveryDocumentItem,IDELIVERYDOCUMENTITEM,Posiciones de entrega,Delta timestamp,LIPS,
SD,Facturaci?n,I_BillingDocument,IBILLINGDOC,Facturas / Notas de Cr?dito y D?bito,Delta timestamp,VBRK,
SD,Posici?n Factura,I_BillingDocumentItem,IBILLINGDOCUMENTITEM,Posiciones de factura,Delta timestamp,VBRP,
SD,Log?stica,I_ShippingPoint,ISHIPPINGPOINT,Punto de expedici?n,Full,T001T/T499S,
SD,Cliente ?rea Ventas,I_CustomerSalesArea,ICUSTOMERSALESAREA,Cliente por sociedad y ?rea de ventas,Full,KNVV/KNA1,
SD,Empleado de Ventas,I_SalesEmployee,ISALESEMPLOYEE,Empleados de ventas,Full,KNVK,
SD,Material del Cliente,I_CustomerMaterial,ICUSTOMERMATERIAL,Materiales espec?ficos por cliente,Full,KNMT,
SD,Devoluci?n,I_ReturnDelivery,IRETURNDELIVERY,Documentos de devoluci?n (cabecera),Delta timestamp,LIKP,
SD,Posici?n Devoluci?n,I_ReturnDeliveryItem,IRETURNDELIVERYITEM,Posiciones de devoluci?n,Delta timestamp,LIPS,
SD,Condici?n,I_ConditionRecord,ICONDITIONRECORD,Registros de condiciones (precios/descuentos),Full,KONV,
MM,Compras,I_PurchaseOrder,IPURCHASEORDER,Pedidos de compra (Cabecera),Delta timestamp,EKKO,
MM,Compras,I_PurchaseOrderItem,IPURCHASEORDERIT,Posiciones de pedidos de compra,Delta timestamp,EKPO,
MM,Solicitud de Compra,I_PurchaseRequisition,IPURCHASEREQ,Solicitudes de compra (cabecera),Delta timestamp,EBAN,
MM,Posici?n Solicitud,I_PurchaseRequisitionItem,IPURCHASEREQITEM,Posiciones de solicitud de compra,Delta timestamp,EBAN,
MM,Inventario,I_MaterialStock,IMATSTOCK,Stock actual por Centro/Almac?n,Delta timestamp,MARD/MARC,
MM,Maestro Material,I_Product,IPRODUCT,Maestro de Materiales (S/4HANA Product),Delta timestamp,MARA/MARC,
MM,Documento Material,I_MaterialDocumentHeader,IMATDOCHEADER,Cabecera de documento de material (movimientos),Delta timestamp,MATDOC,
MM,Partida Documento Material,I_MaterialDocumentItem,IMATDOCITEM,Partidas de documento de material,Delta timestamp,MATDOC,
MM,Centro,I_Plant,IPLANT,Maestro de centros/plantas,Full,T001W,
MM,Almacén,I_StorageLocation,ISTORAGELOCATION,Almacenes por centro,Full,T001L,
MM,Registro de Información de Compra,I_PurchasingInfoRecord,IPURCHASEINFORECORD,Registros de información de compra,Full,EINA/EINE,
MM,Lista de Fuentes,I_SourceList,ISOURCELIST,Lista de fuentes de aprovisionamiento,Full,EORD,
MM,Conteo Inventario,I_InventoryCountDocument,IINVENTORYCOUNTDOC,Documentos de conteo de inventario,Delta timestamp,,
MM,Posición Conteo,I_InventoryCountDocumentItem,IINVENTORYCOUNTDOCITEM,Posiciones de conteo de inventario,Delta timestamp,,
PP,Producción,I_ProductionOrder,IPRODORDER,Órdenes de fabricación,Delta timestamp,AFKO/AFPO,
PP,Orden Planificada,I_PlannedOrder,IPLANNEDORDER,Órdenes planificadas (MRP),Delta timestamp,PLAF,
PP,Operaci?n Orden,I_ProductionOrderOperation,IPRODORDEROPERATION,Operaciones de orden de fabricaci?n,Delta timestamp,AFVC,
PP,Centro de Trabajo,I_WorkCenter,IWORKCENTER,Maestro de Puestos de Trabajo,Full,CRHD,
PP,Hoja de Ruta,I_ProductRouting,IPRODUCTROUTING,Hojas de ruta de fabricaci?n,Full,PLKO/PLPO,
PP,Lista de Materiales,I_BOMHeader,IBOMHEADER,Cabecera de lista de materiales,Full,MAST/STPO,
PP,Posici?n LDM,I_BOMItem,IBOMITEM,Posiciones de lista de materiales,Full,STPO,
PM,Mantenimiento,I_MaintenanceOrder,IMAINTORDER,?rdenes de mantenimiento correctivo/prev.,Delta timestamp,AUFK,
PM,Operaci?n Mantenimiento,I_MaintenanceOrderOperation,IMAINTORDEROPERATION,Operaciones de orden de mantenimiento,Delta timestamp,AFIH/AFVV,
PM,Objetos T?cnicos,I_Equipment,IEQUIPMENT,Maestro de Equipos,Full,EQUI,
PM,Ubicaci?n T?cnica,I_FunctionalLocation,IFUNCTIONALLOCATION,Ubicaciones t?cnicas,Full,IFLOT,
QM,Calidad,I_InspectionLot,IINSPNLOT,Lotes de inspecci?n,Delta timestamp,QALS,
QM,Operaci?n Inspecci?n,I_InspectionOperation,IINSPECTIONOPERATION,Operaciones de inspecci?n,Delta timestamp,QAMV,
QM,Registro Info Calidad,I_QualityInfoRecord,IQUALITYINFORECORD,Registro de informaci?n de calidad,Full,QMAT,
EWM,Almac?n Ext.,I_WhseOutboundDeliveryOrder,IOWDO,Orden de entrega de salida en EWM,Delta timestamp,/SCWM/LIKP,
EWM,Stock Almac?n,I_WhseStock,IWHSESTOCK,Stock en almac?n (EWM),Delta timestamp,/SCWM/,
EWM,Material en Tr?nsito,I_StockInTransitItem,ISTOCKINTRANSITITEM,Material en tr?nsito,Delta timestamp,
Cross,Interlocutor,I_BusinessPartner,IBUSINESSPART,Maestro de Business Partners (BP),Delta timestamp,BUT000,
Cross,Cliente,I_Customer,ICUSTOMER,Maestro de clientes,Full,KNA1/KNB1,
Cross,Proveedor,I_Supplier,ISUPPLIER,Maestro de proveedores,Full,LFA1/LFB1,
Cross,Material/Producto,I_Product,IPRODUCT,Producto/Material (vista cruzada),Delta timestamp,MARA/MARC,
Cross,Empresa,I_CompanyCode,ICOMPANYCODE,Sociedades/Centros (vista cruzada),Full,T001,
Cross,Centro,I_Plant,IPLANT,Plantas/Centros (vista cruzada),Full,T001W,
Cross,Pa?s,I_Country,ICOUNTRY,Maestro de pa?ses,Full,T005,
Cross,Unidad de Medida,I_UnitOfMeasure,IUNITOFMEASURE,Unidades de medida,Full,T006,
Cross,Incoterms,I_Incoterms,IINCOTERMS,Cl?usulas de comercio internacional,Full,TINC,
Cross,Proyecto,WBS Element,IPROJECT,Elementos WBS / Proyectos,Full,PRPS,
Cross,C?digo Impuesto,I_TaxCode,ITAXCODE,C?digos de impuestos,Full,T007S,
Cross,Cuenta Bancaria,I_BankAccount,IBANKACCOUNT,Cuentas bancarias (sociedad/BP),Full,T012/T001,
Cross,Posici?n (HR),I_Position,IPOSITION,Posiciones organizativas (HR),Full,HRP1001,
