Módulo,Área Funcional,Nombre Entidad CDS (Data Definition),SQL View Name (Nombre Técnico),Descripción Breve,Tipo carga sugerido,Tabla subyacente,Notas,Prioridad
EWM,Material en Tr?nsito,I_StockInTransitItem,ISTOCKINTRANSITITEM,Material en tr?nsito,Delta timestamp,,,9
Cross,Interlocutor,I_BusinessPartner,IBUSINESSPART,Maestro de Business Partners (BP),Delta timestamp,BUT000,,1
Cross,Cliente,I_Customer,ICUSTOMER,Maestro de clientes,Full,KNA1/KNB1,,1
Cross,Proveedor,I_Supplier,ISUPPLIER,Maestro de proveedores,Full,LFA1/LFB1,,1
Cross,Pa?s,I_Country,ICOUNTRY,Maestro de pa?ses,Full,T005,,1
Cross,Unidad de Medida,I_UnitOfMeasure,IUNITOFMEASURE,Unidades de medida,Full,T006,,1
Cross,Incoterms,I_Incoterms,IINCOTERMS,Cl?usulas de comercio internacional,Full,TINC,,5
Cross,Proyecto,WBS Element,IPROJECT,Elementos WBS / Proyectos,Full,PRPS,,5
Cross,C?digo Impuesto,I_TaxCode,ITAXCODE,C?digos de impuestos,Full,T007S,,1
Cross,Cuenta Bancaria,I_BankAccount,IBANKACCOUNT,Cuentas bancarias (sociedad/BP),Full,T012/T001,,1
Cross,Posici?n (HR),I_Position,IPOSITION,Posiciones organizativas (HR),Full,HRP1001,,5
